Namespace(augmix_cutmix_prob=0.5, augmix_prob=0.0, batch_size=32, beta=1.0, data_path='./data/modelnet40_normal_resampled', dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=500, eval=False, exp_name='augmix_cutmix_lams2_eps35e-2_dgcnn_1024', jitter=False, k=20, knn=False, lr=0.001, model='dgcnn', model_path='', modelnet10=False, momentum=0.9, no_cuda=False, normal=False, nsample=512, num_points=1024, rddrop=False, rdscale=False, rot=False, rsmix_prob=0.0, seed=1, shift=False, shuffle=False, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train epoch 0, loss: 3.078562, train acc: 0.443404, train avg acc: 0.266168
Test epoch 0, loss: 2.725729, test acc: 0.588331, test avg acc: 0.439552
Train epoch 1, loss: 2.681302, train acc: 0.626832, train avg acc: 0.434555
Test epoch 1, loss: 2.552859, test acc: 0.691248, test avg acc: 0.546430
Train epoch 2, loss: 2.568409, train acc: 0.695542, train avg acc: 0.528378
Test epoch 2, loss: 2.412254, test acc: 0.782010, test avg acc: 0.657157
Train epoch 3, loss: 2.498600, train acc: 0.739617, train avg acc: 0.597352
Test epoch 3, loss: 2.339201, test acc: 0.815640, test avg acc: 0.683267
Train epoch 4, loss: 2.458696, train acc: 0.765269, train avg acc: 0.628208
Test epoch 4, loss: 2.332565, test acc: 0.835494, test avg acc: 0.726890
Train epoch 5, loss: 2.427779, train acc: 0.785322, train avg acc: 0.657224
Test epoch 5, loss: 2.296609, test acc: 0.833468, test avg acc: 0.724512
Train epoch 6, loss: 2.393015, train acc: 0.805578, train avg acc: 0.696086
Test epoch 6, loss: 2.291577, test acc: 0.840762, test avg acc: 0.759291
Train epoch 7, loss: 2.374247, train acc: 0.813518, train avg acc: 0.704873
Test epoch 7, loss: 2.320349, test acc: 0.822123, test avg acc: 0.739779
Train epoch 8, loss: 2.366870, train acc: 0.821356, train avg acc: 0.718601
Test epoch 8, loss: 2.275258, test acc: 0.847650, test avg acc: 0.763703
Train epoch 9, loss: 2.346043, train acc: 0.828379, train avg acc: 0.725310
Test epoch 9, loss: 2.283459, test acc: 0.861831, test avg acc: 0.790895
Train epoch 10, loss: 2.333147, train acc: 0.836523, train avg acc: 0.741372
Test epoch 10, loss: 2.239964, test acc: 0.872771, test avg acc: 0.810703
Train epoch 11, loss: 2.320458, train acc: 0.846091, train avg acc: 0.755050
Test epoch 11, loss: 2.198004, test acc: 0.884927, test avg acc: 0.806709
Train epoch 12, loss: 2.312593, train acc: 0.846906, train avg acc: 0.757237
Test epoch 12, loss: 2.242812, test acc: 0.865883, test avg acc: 0.797372
Train epoch 13, loss: 2.298701, train acc: 0.858510, train avg acc: 0.776100
Test epoch 13, loss: 2.225169, test acc: 0.881280, test avg acc: 0.832116
Train epoch 14, loss: 2.294642, train acc: 0.861462, train avg acc: 0.779398
Test epoch 14, loss: 2.231042, test acc: 0.871961, test avg acc: 0.810657
Train epoch 15, loss: 2.286711, train acc: 0.863803, train avg acc: 0.785444
Test epoch 15, loss: 2.292749, test acc: 0.847245, test avg acc: 0.776128
Train epoch 16, loss: 2.280013, train acc: 0.865941, train avg acc: 0.786490
Test epoch 16, loss: 2.217349, test acc: 0.883712, test avg acc: 0.815634
Train epoch 17, loss: 2.273641, train acc: 0.872353, train avg acc: 0.799069
Test epoch 17, loss: 2.228788, test acc: 0.876823, test avg acc: 0.798314
Train epoch 18, loss: 2.267425, train acc: 0.875509, train avg acc: 0.802494
Test epoch 18, loss: 2.212167, test acc: 0.873582, test avg acc: 0.817785
Train epoch 19, loss: 2.267111, train acc: 0.873575, train avg acc: 0.798596
Test epoch 19, loss: 2.190482, test acc: 0.899109, test avg acc: 0.855808
Train epoch 20, loss: 2.262146, train acc: 0.876221, train avg acc: 0.807108
Test epoch 20, loss: 2.203158, test acc: 0.881280, test avg acc: 0.830436
Train epoch 21, loss: 2.255487, train acc: 0.879988, train avg acc: 0.808014
Test epoch 21, loss: 2.190288, test acc: 0.897083, test avg acc: 0.845087
Train epoch 22, loss: 2.254808, train acc: 0.883550, train avg acc: 0.814616
Test epoch 22, loss: 2.212631, test acc: 0.873582, test avg acc: 0.819273
Train epoch 23, loss: 2.247750, train acc: 0.883347, train avg acc: 0.814858
Test epoch 23, loss: 2.182472, test acc: 0.891815, test avg acc: 0.829407
Train epoch 24, loss: 2.238584, train acc: 0.891897, train avg acc: 0.829453
Test epoch 24, loss: 2.202287, test acc: 0.893031, test avg acc: 0.830587
Train epoch 25, loss: 2.236929, train acc: 0.893628, train avg acc: 0.832913
Test epoch 25, loss: 2.181818, test acc: 0.897893, test avg acc: 0.854035
Train epoch 26, loss: 2.246059, train acc: 0.888538, train avg acc: 0.827688
Test epoch 26, loss: 2.183338, test acc: 0.893841, test avg acc: 0.830337
Train epoch 27, loss: 2.232529, train acc: 0.890167, train avg acc: 0.828114
Test epoch 27, loss: 2.206100, test acc: 0.879660, test avg acc: 0.811703
Train epoch 28, loss: 2.233603, train acc: 0.891592, train avg acc: 0.827499
Test epoch 28, loss: 2.158895, test acc: 0.909643, test avg acc: 0.852267
Train epoch 29, loss: 2.225330, train acc: 0.897496, train avg acc: 0.838527
Test epoch 29, loss: 2.181899, test acc: 0.903160, test avg acc: 0.859180
Train epoch 30, loss: 2.227159, train acc: 0.899023, train avg acc: 0.843999
Test epoch 30, loss: 2.167437, test acc: 0.903160, test avg acc: 0.859837
Train epoch 31, loss: 2.227992, train acc: 0.894748, train avg acc: 0.829500
