Namespace(augmix_cutmix_prob=0.5, augmix_prob=0.0, batch_size=32, beta=1.0, data_path='./data/modelnet40_normal_resampled', dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=500, eval=False, exp_name='augmix_cutmix_lams3_dgcnn_1024_3', jitter=False, k=20, knn=False, lr=0.001, model='dgcnn', model_path='', modelnet10=False, momentum=0.9, no_cuda=False, normal=False, nsample=512, num_points=1024, rddrop=False, rdscale=False, rot=False, rsmix_prob=0.0, seed=1, shift=False, shuffle=False, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train epoch 0, loss: 2.747805, train acc: 0.447577, train avg acc: 0.272184
Test epoch 0, loss: 2.265291, test acc: 0.617909, test avg acc: 0.485581
Train epoch 1, loss: 2.194256, train acc: 0.641897, train avg acc: 0.471297
Test epoch 1, loss: 2.039563, test acc: 0.722853, test avg acc: 0.600105
Train epoch 2, loss: 2.056309, train acc: 0.701547, train avg acc: 0.542467
Test epoch 2, loss: 1.887314, test acc: 0.758509, test avg acc: 0.634512
Train epoch 3, loss: 1.946232, train acc: 0.750713, train avg acc: 0.615905
Test epoch 3, loss: 1.832587, test acc: 0.800648, test avg acc: 0.688901
Train epoch 4, loss: 1.900288, train acc: 0.769646, train avg acc: 0.641308
Test epoch 4, loss: 1.797550, test acc: 0.806321, test avg acc: 0.719674
Train epoch 5, loss: 1.848935, train acc: 0.787357, train avg acc: 0.673013
Test epoch 5, loss: 1.711343, test acc: 0.845624, test avg acc: 0.755012
Train epoch 6, loss: 1.816912, train acc: 0.806087, train avg acc: 0.701594
Test epoch 6, loss: 1.690318, test acc: 0.836710, test avg acc: 0.752721
Train epoch 7, loss: 1.794838, train acc: 0.809141, train avg acc: 0.703651
Test epoch 7, loss: 1.651906, test acc: 0.866694, test avg acc: 0.808186
Train epoch 8, loss: 1.772493, train acc: 0.823392, train avg acc: 0.727528
Test epoch 8, loss: 1.680181, test acc: 0.839951, test avg acc: 0.744988
Train epoch 9, loss: 1.740705, train acc: 0.836726, train avg acc: 0.743581
Test epoch 9, loss: 1.664132, test acc: 0.853323, test avg acc: 0.782715
Train epoch 10, loss: 1.743244, train acc: 0.835403, train avg acc: 0.745807
Test epoch 10, loss: 1.668736, test acc: 0.858995, test avg acc: 0.787930
Train epoch 11, loss: 1.718687, train acc: 0.843445, train avg acc: 0.754791
Test epoch 11, loss: 1.629785, test acc: 0.868314, test avg acc: 0.809680
Train epoch 12, loss: 1.721320, train acc: 0.845480, train avg acc: 0.759661
Test epoch 12, loss: 1.634047, test acc: 0.869125, test avg acc: 0.799983
Train epoch 13, loss: 1.701843, train acc: 0.850366, train avg acc: 0.767309
Test epoch 13, loss: 1.605438, test acc: 0.882901, test avg acc: 0.824099
Train epoch 14, loss: 1.692302, train acc: 0.856779, train avg acc: 0.779320
Test epoch 14, loss: 1.616948, test acc: 0.870340, test avg acc: 0.810134
Train epoch 15, loss: 1.681103, train acc: 0.864210, train avg acc: 0.792781
Test epoch 15, loss: 1.656594, test acc: 0.854133, test avg acc: 0.782564
Train epoch 16, loss: 1.668018, train acc: 0.867467, train avg acc: 0.790309
Test epoch 16, loss: 1.659618, test acc: 0.865883, test avg acc: 0.789064
Train epoch 17, loss: 1.668616, train acc: 0.864414, train avg acc: 0.788858
Test epoch 17, loss: 1.612758, test acc: 0.864668, test avg acc: 0.791948
Train epoch 18, loss: 1.650185, train acc: 0.873575, train avg acc: 0.804563
Test epoch 18, loss: 1.580900, test acc: 0.878849, test avg acc: 0.817767
Train epoch 19, loss: 1.652354, train acc: 0.875305, train avg acc: 0.807313
Test epoch 19, loss: 1.610981, test acc: 0.868314, test avg acc: 0.807465
Train epoch 20, loss: 1.647895, train acc: 0.873066, train avg acc: 0.803408
Test epoch 20, loss: 1.576825, test acc: 0.886953, test avg acc: 0.826936
Train epoch 21, loss: 1.645768, train acc: 0.870521, train avg acc: 0.795636
Test epoch 21, loss: 1.585934, test acc: 0.881686, test avg acc: 0.819843
