Namespace(augmix_cutmix_prob=0.5, augmix_prob=0.0, batch_size=32, beta=1.0, data_path='./data/modelnet40_normal_resampled', dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=500, eval=False, exp_name='augmix_cutmix_lams2_eps5e-2_dgcnn_1024', jitter=False, k=20, knn=False, lr=0.001, model='dgcnn', model_path='', modelnet10=False, momentum=0.9, no_cuda=False, normal=False, nsample=512, num_points=1024, rddrop=False, rdscale=False, rot=False, rsmix_prob=0.0, seed=1, shift=False, shuffle=False, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train epoch 0, loss: 2.322880, train acc: 0.444727, train avg acc: 0.276725
Test epoch 0, loss: 1.768530, test acc: 0.532010, test avg acc: 0.427890
Train epoch 1, loss: 1.610098, train acc: 0.616144, train avg acc: 0.451317
Test epoch 1, loss: 1.276934, test acc: 0.720827, test avg acc: 0.586930
Train epoch 2, loss: 1.407053, train acc: 0.681393, train avg acc: 0.532456
Test epoch 2, loss: 1.168047, test acc: 0.757699, test avg acc: 0.647436
Train epoch 3, loss: 1.270498, train acc: 0.726486, train avg acc: 0.592525
Test epoch 3, loss: 1.233212, test acc: 0.745948, test avg acc: 0.645988
Train epoch 4, loss: 1.196035, train acc: 0.748575, train avg acc: 0.627038
Test epoch 4, loss: 1.048138, test acc: 0.796191, test avg acc: 0.717314
Train epoch 5, loss: 1.135370, train acc: 0.771478, train avg acc: 0.658190
Test epoch 5, loss: 0.928428, test acc: 0.845624, test avg acc: 0.739302
Train epoch 6, loss: 1.107210, train acc: 0.784507, train avg acc: 0.682864
Test epoch 6, loss: 0.955709, test acc: 0.831848, test avg acc: 0.757483
Train epoch 7, loss: 1.052956, train acc: 0.800998, train avg acc: 0.703461
Test epoch 7, loss: 0.905797, test acc: 0.856969, test avg acc: 0.804797
Train epoch 8, loss: 1.036576, train acc: 0.803033, train avg acc: 0.707153
Test epoch 8, loss: 1.057298, test acc: 0.803079, test avg acc: 0.719523
Train epoch 9, loss: 1.010295, train acc: 0.813721, train avg acc: 0.717783
Test epoch 9, loss: 0.885976, test acc: 0.857780, test avg acc: 0.763895
Train epoch 10, loss: 0.987901, train acc: 0.825835, train avg acc: 0.739446
Test epoch 10, loss: 0.912966, test acc: 0.848460, test avg acc: 0.766977
Train epoch 11, loss: 0.968533, train acc: 0.828990, train avg acc: 0.744665
Test epoch 11, loss: 0.857631, test acc: 0.861426, test avg acc: 0.808674
Train epoch 12, loss: 0.966044, train acc: 0.832146, train avg acc: 0.747292
Test epoch 12, loss: 0.865841, test acc: 0.858185, test avg acc: 0.795465
Train epoch 13, loss: 0.929417, train acc: 0.841205, train avg acc: 0.760288
Test epoch 13, loss: 0.864030, test acc: 0.865073, test avg acc: 0.803151
Train epoch 14, loss: 0.930684, train acc: 0.841714, train avg acc: 0.762001
Test epoch 14, loss: 0.946302, test acc: 0.843598, test avg acc: 0.782227
Train epoch 15, loss: 0.919755, train acc: 0.844259, train avg acc: 0.763991
Test epoch 15, loss: 0.845978, test acc: 0.858590, test avg acc: 0.795453
Train epoch 16, loss: 0.902239, train acc: 0.854031, train avg acc: 0.775118
Test epoch 16, loss: 0.832226, test acc: 0.865073, test avg acc: 0.799878
Train epoch 17, loss: 0.899827, train acc: 0.851995, train avg acc: 0.777284
Test epoch 17, loss: 0.939375, test acc: 0.841977, test avg acc: 0.793890
Train epoch 18, loss: 0.889400, train acc: 0.856169, train avg acc: 0.784566
Test epoch 18, loss: 0.857963, test acc: 0.865478, test avg acc: 0.809715
Train epoch 19, loss: 0.877370, train acc: 0.860138, train avg acc: 0.787174
Test epoch 19, loss: 0.856514, test acc: 0.856159, test avg acc: 0.822709
Train epoch 20, loss: 0.878814, train acc: 0.860240, train avg acc: 0.791447
Test epoch 20, loss: 0.770231, test acc: 0.898703, test avg acc: 0.828535
Train epoch 21, loss: 0.866260, train acc: 0.860647, train avg acc: 0.791387
Test epoch 21, loss: 0.766067, test acc: 0.895867, test avg acc: 0.832221
Train epoch 22, loss: 0.872582, train acc: 0.861665, train avg acc: 0.788473
Test epoch 22, loss: 0.829463, test acc: 0.879254, test avg acc: 0.832413
Train epoch 23, loss: 0.852479, train acc: 0.866348, train avg acc: 0.801405
Test epoch 23, loss: 0.862546, test acc: 0.860616, test avg acc: 0.783692
Train epoch 24, loss: 0.850405, train acc: 0.866755, train avg acc: 0.798160
Test epoch 24, loss: 0.807261, test acc: 0.880470, test avg acc: 0.842198
Train epoch 25, loss: 0.852265, train acc: 0.868587, train avg acc: 0.801868
Test epoch 25, loss: 0.749180, test acc: 0.895057, test avg acc: 0.839581
Train epoch 26, loss: 0.845987, train acc: 0.870725, train avg acc: 0.806876
Test epoch 26, loss: 0.799329, test acc: 0.882901, test avg acc: 0.824378
Train epoch 27, loss: 0.852672, train acc: 0.866450, train avg acc: 0.800914
Test epoch 27, loss: 0.790893, test acc: 0.879660, test avg acc: 0.818703
Train epoch 28, loss: 0.845922, train acc: 0.867976, train avg acc: 0.799149
Test epoch 28, loss: 0.815753, test acc: 0.873177, test avg acc: 0.827285
Train epoch 29, loss: 0.834706, train acc: 0.873677, train avg acc: 0.812947
Test epoch 29, loss: 0.857501, test acc: 0.865478, test avg acc: 0.824506
Train epoch 30, loss: 0.828290, train acc: 0.875204, train avg acc: 0.808471
Test epoch 30, loss: 0.782057, test acc: 0.887358, test avg acc: 0.845843
Train epoch 31, loss: 0.825764, train acc: 0.873982, train avg acc: 0.811462
Test epoch 31, loss: 0.852262, test acc: 0.863047, test avg acc: 0.824779
Train epoch 32, loss: 0.834631, train acc: 0.874084, train avg acc: 0.811088
Test epoch 32, loss: 0.802821, test acc: 0.886548, test avg acc: 0.833849
Train epoch 33, loss: 0.830839, train acc: 0.873779, train avg acc: 0.811941
Test epoch 33, loss: 0.805129, test acc: 0.875608, test avg acc: 0.817872
Train epoch 34, loss: 0.819508, train acc: 0.876730, train avg acc: 0.814322
Test epoch 34, loss: 0.817629, test acc: 0.874797, test avg acc: 0.817012
Train epoch 35, loss: 0.827361, train acc: 0.874084, train avg acc: 0.812807
Test epoch 35, loss: 0.821758, test acc: 0.867909, test avg acc: 0.831581
Train epoch 36, loss: 0.814934, train acc: 0.880599, train avg acc: 0.820684
Test epoch 36, loss: 0.864969, test acc: 0.846840, test avg acc: 0.794209
Train epoch 37, loss: 0.804476, train acc: 0.883347, train avg acc: 0.824589
Test epoch 37, loss: 0.753213, test acc: 0.890600, test avg acc: 0.823500
Train epoch 38, loss: 0.801786, train acc: 0.878970, train avg acc: 0.819397
Test epoch 38, loss: 0.759142, test acc: 0.893436, test avg acc: 0.835145
Train epoch 39, loss: 0.806181, train acc: 0.887113, train avg acc: 0.830386
Test epoch 39, loss: 0.845235, test acc: 0.856969, test avg acc: 0.808262
Train epoch 40, loss: 0.807280, train acc: 0.881311, train avg acc: 0.821916
Test epoch 40, loss: 0.856653, test acc: 0.858185, test avg acc: 0.804233
Train epoch 41, loss: 0.812237, train acc: 0.880802, train avg acc: 0.822650
Test epoch 41, loss: 0.782368, test acc: 0.876013, test avg acc: 0.833703
Train epoch 42, loss: 0.787125, train acc: 0.890371, train avg acc: 0.835593
Test epoch 42, loss: 0.763175, test acc: 0.897893, test avg acc: 0.841215
Train epoch 43, loss: 0.800808, train acc: 0.878461, train avg acc: 0.817583
Test epoch 43, loss: 0.781487, test acc: 0.885737, test avg acc: 0.844174
Train epoch 44, loss: 0.795772, train acc: 0.883550, train avg acc: 0.822939
Test epoch 44, loss: 0.832380, test acc: 0.862237, test avg acc: 0.811116
Train epoch 45, loss: 0.790780, train acc: 0.886095, train avg acc: 0.830477
Test epoch 45, loss: 0.775827, test acc: 0.884927, test avg acc: 0.823169
Train epoch 46, loss: 0.784121, train acc: 0.888335, train avg acc: 0.832114
Test epoch 46, loss: 0.786016, test acc: 0.880470, test avg acc: 0.824349
Train epoch 47, loss: 0.798722, train acc: 0.882329, train avg acc: 0.824901
Test epoch 47, loss: 0.806848, test acc: 0.868720, test avg acc: 0.837942
Train epoch 48, loss: 0.776551, train acc: 0.891490, train avg acc: 0.837944
Test epoch 48, loss: 0.828297, test acc: 0.867099, test avg acc: 0.797959
Train epoch 49, loss: 0.781734, train acc: 0.890574, train avg acc: 0.834560
Test epoch 49, loss: 0.846796, test acc: 0.850486, test avg acc: 0.805762
Train epoch 50, loss: 0.783614, train acc: 0.887011, train avg acc: 0.829706
Test epoch 50, loss: 0.770215, test acc: 0.889384, test avg acc: 0.854773
Train epoch 51, loss: 0.782697, train acc: 0.889353, train avg acc: 0.833600
Test epoch 51, loss: 0.748836, test acc: 0.894246, test avg acc: 0.853401
Train epoch 52, loss: 0.787758, train acc: 0.886197, train avg acc: 0.832276
Test epoch 52, loss: 0.806707, test acc: 0.876418, test avg acc: 0.833674
Train epoch 53, loss: 0.784326, train acc: 0.891796, train avg acc: 0.837758
Test epoch 53, loss: 0.767671, test acc: 0.893031, test avg acc: 0.857814
Train epoch 54, loss: 0.763832, train acc: 0.895765, train avg acc: 0.844149
Test epoch 54, loss: 0.769869, test acc: 0.886953, test avg acc: 0.844477
Train epoch 55, loss: 0.772891, train acc: 0.891592, train avg acc: 0.839031
Test epoch 55, loss: 0.776857, test acc: 0.882901, test avg acc: 0.825256
Train epoch 56, loss: 0.762195, train acc: 0.896173, train avg acc: 0.843321
Test epoch 56, loss: 0.784206, test acc: 0.880065, test avg acc: 0.821965
Train epoch 57, loss: 0.767910, train acc: 0.895460, train avg acc: 0.844418
Test epoch 57, loss: 0.820705, test acc: 0.869530, test avg acc: 0.810442
Train epoch 58, loss: 0.771840, train acc: 0.890167, train avg acc: 0.833876
Test epoch 58, loss: 0.782133, test acc: 0.882901, test avg acc: 0.836000
Train epoch 59, loss: 0.784750, train acc: 0.886401, train avg acc: 0.828789
Test epoch 59, loss: 0.749549, test acc: 0.894652, test avg acc: 0.847006
Train epoch 60, loss: 0.768256, train acc: 0.894137, train avg acc: 0.842922
Test epoch 60, loss: 0.813158, test acc: 0.871961, test avg acc: 0.812837
Train epoch 61, loss: 0.756534, train acc: 0.898208, train avg acc: 0.846351
Test epoch 61, loss: 0.746486, test acc: 0.891815, test avg acc: 0.847297
Train epoch 62, loss: 0.755651, train acc: 0.896478, train avg acc: 0.844607
